Brignoles,16769,43.42N,6.06E
Brive-la-Gaillarde,56231,45.16N,1.51E
Bron,37489,45.74N,4.91E
Bruay-la-Brussiere,24371,50.49N,2.53E
Bruay-sur-l'Escaut,12288,50.39N,3.53E
Bruges,14391,44.89N,0.62W
Brumath,9790,48.73N,7.72E
Brunoy,24583,48.71N,2.49E
Bruz,15678,48.03N,1.75W
Bry-sur-Marne,17557,48.84N,2.50E
Bully-les-Mines,11802,50.44N,2.72E
Bures-sur-Yvette,11109,48.70N,2.17E
Bussy-Saint-Georges,10953,48.85N,2.71E
Buxerolles,9956,46.62N,0.48E
Cabestany,9565,42.68N,2.93E
Cachan,28048,48.78N,2.32E
Caen,105785,49.19N,0.36W
Cagnes-sur-Mer,49764,43.68N,7.13E
Cahors,24963,44.46N,1.44E
Calais,71756,50.95N,1.86E
Caluire-et-Cuire,43573,45.80N,4.83E
Cambrai,37779,50.17N,3.23E
Canet-en-Roussillon,11713,42.70N,3.03E
Cannes,70891,43.56N,7.02E
Canteleu,15521,49.45N,1.03E
Carcassonne,51677,43.22N,2.34E
Carmaux,10357,44.05N,2.16E
Carpentras,32223,44.07N,5.04E
Carquefou,20651,47.30N,1.50W
Carqueiranne,9814,43.08N,6.08E
Carrieres-sous-Poissy,17586,48.95N,2.03E
Carrieres-sur-Seine,13659,48.92N,2.19E
Carros,11071,43.80N,7.18E
Carvin,19128,50.49N,2.95E
Castanet-Tolosan,12598,43.52N,1.50E
Castelginest,9490,43.70N,1.43E
Castelnaudary,12924,43.32N,1.95E
Castelnau-le-Lez,21132,43.64N,3.89E
Castelsarassin,14147,44.04N,1.10E
Castres,48697,43.61N,2.23E
Caudebec-les-Elbeuf,10104,49.28N,1.04E
Caudry,13985,50.13N,3.40E
Cavaillon,28372,43.85N,5.03E
Cenon,22881,44.85N,0.53W
Cergy,56916,49.04N,2.07E
Cernay,11343,47.81N,7.17E
Cesson-Sevigne,20749,48.12N,1.62W
Cestas,18589,44.75N,0.69W
Chalette-sur-Loing,14234,48.02N,2.73E
Challans,21314,46.85N,1.88W
Chalons-en-Champagne,53071,48.97N,4.36E
Chalon-sur-Saone,43037,46.79N,4.84E
Chamalieres,21565,45.78N,3.06E
Chambery,65067,45.58N,5.91E
Chambly,9793,49.17N,2.25E
Chambray-les-Tours,11255,47.33N,0.72E
Chamonix-Mont-Blanc,11013,45.93N,6.85E
Champigny-sur-Marne,79075,48.82N,2.51E
Champs-sur-Marne,30961,48.86N,2.59E
Chanteloup-les-Vignes,9549,48.99N,2.03E
Chantilly,11009,49.19N,2.46E
Charenton-le-Pont,35574,48.82N,2.41E
Charleville-Mezieres,48912,49.75N,4.73E
Chartres,45606,48.46N,1.48E
Chassieu,9704,45.75N,4.97E
Chateaubriant,13387,47.72N,1.37W
Chateau-d'Olonne,17299,46.51N,1.74W
Chateaudun,16632,48.08N,1.34E
Chateau-Gontier,13001,47.83N,0.71W
Chateauneuf-les-Martigues,11547,43.39N,5.15E
Chateaurenard,15313,43.88N,4.84E
Chateauroux,54375,46.81N,1.70E
Chateau-Thierry,16172,49.05N,3.40E
Chatellerault,38515,46.81N,0.54E
Chatenay-Malabry,34853,48.78N,2.27E
Chatillon,33576,48.81N,2.29E
Chatou,31621,48.89N,2.14E
Chaumont,30109,48.11N,5.14E
Chauny,13276,49.62N,3.22E
Chaville,19552,48.81N,2.17E
Chelles,48660,48.89N,2.60E
Chennevieres-sur-Marne,18943,48.80N,2.53E
Chenove,15164,47.29N,5.00E
Cherbourg,26364,49.64N,1.63W
Chevigny-Saint-Sauveur,10777,47.30N,5.13E
Chevilly-Larue,22181,48.76N,2.35E
Chilly-Mazarin,20063,48.71N,2.31E
Chinon,9702,47.17N,0.25E
Choisy-le-Roi,37040,48.76N,2.40E
Cholet,51318,47.07N,0.88W
Clamart,54229,48.80N,2.26E
Claye-Souilly,11841,48.95N,2.69E
Clermont,12258,49.39N,2.41E
Clermont-Ferrand,136922,45.78N,3.08E
Clichy,64400,48.91N,2.30E
Clichy-sous-Bois,30115,48.92N,2.55E
Cluses,21235,46.06N,6.60E
Cognac,21570,45.69N,0.33W
Cogolin,10524,43.25N,6.53E
Colmar,63907,48.08N,7.36E
Colombes,91967,48.93N,2.25E
Colomiers,33291,43.62N,1.33E
Combs-la-Ville,23745,48.67N,2.56E
Comines,13013,50.77N,3.01E
Compiegne,45095,49.41N,2.82E
Concarneau,22971,47.87N,3.93W
Conde-sur-l'Escaut,9957,50.46N,3.58E
Conflans-Sainte-Honorine,39133,49.01N,2.10E
Corbas,10125,45.67N,4.90E
Corbeil-Essonnes,41621,48.61N,2.47E
Cormeilles-en-Parisis,24353,48.97N,2.19E
Cosne-Cours-sur-Loire,11552,47.41N,2.93E
Coudekerque-Branche,25794,51.04N,2.40E
Couëron,21092,47.22N,1.73W
Coulommiers,16485,48.82N,3.08E
Courbevoie,80175,48.90N,2.25E
Courcouronnes,15825,48.62N,2.42E
Cournon-d'Auvergne,20225,45.74N,3.19E
Courrieres,10020,50.45N,2.93E
Coutances,9706,49.06N,1.45W
Cran-Gevrier,20960,45.90N,6.10E
Creil,31856,49.27N,2.46E
Crepy-en-Valois,16634,49.24N,2.89E
Creteil,87622,48.79N,2.45E
Creutzwald,14207,49.20N,6.70E
Croissy-sur-Seine,11660,48.88N,2.14E
Croix,21795,50.67N,3.14E
Crolles,9525,45.28N,5.88E
Cuers,9488,43.23N,6.07E
Cugnaux,17225,43.54N,1.35E
Cusset,15020,46.14N,3.45E
Dammarie-les-Lys,21559,48.51N,2.64E
Dax,23549,43.73N,1.04W
Decines-Charpieu,24889,45.77N,4.93E
Denain,22118,50.33N,3.39E
Deuil-la-Barre,23039,48.97N,2.31E
Deville-les-Rouen,10485,49.46N,1.03E
Dieppe,35404,49.93N,1.08E
Digne-les-Bains,20326,44.10N,6.23E
Dijon,145441,47.33N,5.03E
Dinan,12772,48.47N,2.06W
Dinard,13091,48.64N,2.07W
Dole,25787,47.10N,5.48E
Domont,18491,49.03N,2.33E
Douai,48095,50.37N,3.08E
Douarnenez,17050,48.10N,4.35W
Douchy-les-Mines,10112,50.30N,3.38E
Dourdan,10978,48.54N,2.01E
Draguignan,42398,43.55N,6.46E
Drancy,63209,48.94N,2.46E
Draveil,30577,48.68N,2.41E
Dreux,29923,48.74N,1.37E
Dugny,12912,48.95N,2.42E
Dunkirk,70534,51.04N,2.34E
Eaubonne,25415,49.00N,2.27E
Echirolles,32873,45.15N,5.71E
Ecully,19955,45.77N,4.75E
Elancourt,35082,48.78N,1.95E
Elbeuf,17329,49.29N,1.01E
Enghien-les-Bains,11546,48.96N,2.31E
